City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,okhotsk,59.3833,143.3,281.54,97,Rain,1.04,RU,1686847151
78,puerto armuelles,8.2833,-82.8667,303.14,74,Clouds,2.24,PA,1686847152
79,taizhou,32.4933,119.9106,297.47,60,Clouds,3.37,CN,1686846931
80,smithers,54.7804,-127.1743,286.33,50,Clouds,2.57,CA,1686847154
81,hithadhoo,-0.6,73.0833,302.1,74,Clouds,5.41,MV,1686847155
82,lazaro cardenas,17.9583,-102.2,304.41,57,Clouds,3.31,MX,1686847156
83,verkhnevilyuysk,63.4453,120.3167,279.52,88,Clouds,3.24,RU,1686847157
84,miguel ahumada,30.6167,-106.5167,303.0,7,Clouds,3.38,MX,1686847158
85,marsabit,2.3284,37.9899,295.68,49,Clouds,4.6,KE,1686847159
86,uthal,25.8072,66.6219,305.37,55,Clouds,3.81,PK,1686847161
87,bakchar,57.0186,82.0711,284.63,97,Rain,2.69,RU,1686846921
88,nova sintra,14.8667,-24.7167,294.28,79,Clouds,8.04,CV,1686847162
89,mancio lima,-7.6142,-72.8958,290.19,72,Clouds,4.12,BR,1686847163
90,saudarkrokur,65.7461,-19.6394,288.44,74,Clouds,1.43,IS,1686847164
91,scarperia,43.992,11.3538,299.92,60,Clear,2.74,IT,1686847165
92,melekeok village,7.4957,134.6367,298.46,94,Clouds,0.0,PW,1686847166
93,belyy yar,53.6039,91.3903,285.09,76,Clear,2.0,RU,1686847167
94,blackmans bay,-43.0167,147.3167,281.22,85,Clouds,3.13,AU,1686847168
95,afaahiti,-17.75,-149.2833,298.08,88,Rain,9.49,PF,1686847170
96,nuuk,64.1835,-51.7216,276.49,75,Clouds,3.6,GL,1686847171
97,sitka,57.0531,-135.33,283.09,76,Rain,0.0,US,1686847172
98,barcelona,41.3888,2.159,303.81,61,Clouds,5.66,ES,1686847057
99,pathein,16.7833,94.7333,299.81,89,Clear,1.95,MM,1686847174
100,boende,-0.2167,20.8667,299.29,79,Clouds,1.37,CD,1686847175
101,kuhmo,64.1333,29.5167,295.98,38,Clear,1.72,FI,1686847177
102,college,64.8569,-147.8028,286.6,64,Clouds,2.57,US,1686846957
103,bullhead city,35.1478,-114.5683,305.38,29,Clear,4.02,US,1686847178
104,dul'durga,50.6761,113.5931,282.55,63,Clouds,2.33,RU,1686847179
105,changping,40.2186,116.2197,300.95,41,Clouds,1.39,CN,1686847180
106,tralee,52.2704,-9.7026,294.29,68,Rain,2.06,IE,1686847013
107,fortuna,40.5982,-124.1573,288.11,83,Clouds,2.57,US,1686847181
108,coquimbo,-29.9533,-71.3436,291.0,31,Clear,5.14,CL,1686847094
109,stanley,54.868,-1.6985,293.99,54,Clear,4.63,GB,1686847182
110,happy valley-goose bay,53.3168,-60.3315,284.32,66,Clouds,5.14,CA,1686847186
111,pisco,-13.7,-76.2167,293.18,73,Clouds,2.06,PE,1686847189
112,newman,37.3138,-121.0208,296.61,66,Clear,0.89,US,1686847190
